taxon,min_age,max_age
t7_1_1,0.0473075047994539,0.0473075047994539
t13_1_1,0.315277171966719,0.315277171966719
t33_1,0.493720002108698,0.493720002108698
t10_1_1, 0, 0 
t11_1_1, 0, 0 
t12_1_1, 0, 0 
t12_2_1, 0, 0 
t12_2_2, 0, 0 
t13_1_2, 0, 0 
t14_1_1, 0, 0 
t15_1_1, 0, 0 
t16_1_1, 0, 0 
t16_2_1, 0, 0 
t17_1_1, 0, 0 
t19_1_1, 0, 0 
t1_1_1, 0, 0 
t20_1_1, 0, 0 
t21_1_1, 0, 0 
t22_1_1, 0, 0
t23_1_1, 0, 0 
t24_1_1, 0, 0 
t25_1_1, 0, 0 
t26_1_1, 0, 0 
t27_1_1, 0, 0 
t28_1_1, 0, 0 
t29_1_1, 0, 0 
t2_1_1, 0, 0 
t3_1_1, 0, 0 
t48_1_1, 0, 0 
t5_1_1, 0, 0 
t6_1_1, 0, 0 
t8_1_1, 0, 0 
t9_1_1, 0, 0
