Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	turnover
0	-2426.373	-2232.057	-194.3157	1.526164	1.975105	0.04	0.01	0	4.992935	0.025	0.229336	0.592854	1.05192	2.12589	0.05	0.0473075	0.315277	0.49372	0.2
10	-1449.203	-1293.451	-155.7522	1.306388	0.07340355	0.1166138	0.0186036	1	4.97972	0.06827676	0.193806	0.552801	1.03669	2.2167	0.1352174	0.711901	2.82601	0.643279	0.1375829
20	-1346.184	-1202.009	-144.1756	1.695163	0.07272966	0.397387	0.03101586	0	4.792999	0.04183312	0.253959	0.618117	1.06009	2.06784	0.4284028	0.831539	1.53123	1.36202	0.07239882
30	-1315.859	-1174.988	-140.8709	2.78202	0.0758917	0.302184	0.04092999	1	4.884969	0.04599673	0.371663	0.718697	1.0812	1.82844	0.343114	0.305419	1.28972	2.83404	0.1192898
40	-1251.611	-1115.763	-135.8481	1.752021	0.07271944	0.4192183	0.05900038	1	4.857175	0.04321945	0.261763	0.625757	1.06234	2.05014	0.4782187	1.18667	2.05113	2.62329	0.1233753
50	-1201.365	-1064.539	-136.8256	1.783841	0.05272271	0.3740292	0.1093849	1	4.99358	0.06652095	0.266032	0.629866	1.0635	2.0406	0.4834141	1.06123	1.12913	3.13087	0.2262758
60	-1190.768	-1057.497	-133.2714	1.765007	0.062986	0.5483884	0.1306088	2	4.937817	0.0382428	0.263514	0.627447	1.06282	2.04622	0.6789972	0.658617	2.873	2.31768	0.1923555
70	-1184.208	-1049.469	-134.7385	2.122575	0.06196287	0.4743528	0.07918249	1	4.947007	0.05334093	0.30748	0.667446	1.07277	1.9523	0.5535353	0.887774	0.713914	1.69175	0.1430487
80	-1187.915	-1054.853	-133.0622	2.460503	0.07546422	0.2633591	0.1984403	1	4.898708	0.02653232	0.34268	0.696478	1.07816	1.88268	0.4617994	1.8763	1.18372	2.7322	0.4297111
90	-1178.885	-1043.374	-135.5111	1.83518	0.06597517	0.3351042	0.3277747	1	4.977765	0.02598801	0.272773	0.636259	1.06526	2.02571	0.6628789	0.532473	1.27657	2.71565	0.4944714
100	-1177.557	-1041.567	-135.9896	2.943217	0.06178935	0.3962941	0.187884	0	4.988973	0.02202794	0.384821	0.728335	1.08222	1.80462	0.5841781	0.612287	1.46503	2.21475	0.3216211
110	-1177.706	-1046.508	-131.198	1.590233	0.08115234	0.2139347	0.3157968	2	4.961218	0.04730946	0.238931	0.602918	1.05531	2.10284	0.5297315	1.2645	2.76073	2.87172	0.596145
120	-1177.621	-1051.243	-126.3773	1.324854	0.07741932	0.5297415	0.1064267	2	4.9246	0.07072151	0.196955	0.556546	1.03824	2.20826	0.6361682	0.272299	4.21044	2.11817	0.1672933
130	-1171.447	-1044.246	-127.2007	1.778478	0.09763356	0.4164177	0.08802275	2	4.793716	0.1574965	0.265317	0.629181	1.06331	2.04219	0.5044405	0.295233	3.54532	1.62762	0.1744958
140	-1171.917	-1044.971	-126.9463	2.039487	0.1127115	0.3376464	0.1554783	2	4.818913	0.138249	0.297943	0.659148	1.07095	1.97196	0.4931247	0.333175	4.29947	2.38185	0.315292
150	-1176.389	-1047.471	-128.9179	2.383768	0.08616767	0.4206554	0.1457224	1	4.867087	0.08303957	0.335152	0.690468	1.07718	1.8972	0.5663778	1.31769	3.64779	2.23642	0.2572884
160	-1176.628	-1046.985	-129.6423	4.355579	0.08660458	0.4539714	0.1233414	1	4.583519	0.06788646	0.47289	0.786672	1.0842	1.65624	0.5773128	0.261767	3.55912	2.02145	0.2136474
170	-1176.173	-1051.571	-124.6021	1.641292	0.1101927	0.7873476	0.03741771	2	4.611588	0.1415349	0.246347	0.610501	1.05774	2.08541	0.8247653	0.616206	2.89529	1.41158	0.0453677
180	-1178.783	-1048.769	-130.0137	3.727888	0.08191398	0.6046103	0.1228842	1	4.814446	0.0790352	0.438759	0.76524	1.08434	1.71167	0.7274946	0.0865166	1.65066	1.10414	0.1689143
190	-1167.877	-1045.188	-122.6886	2.947116	0.1032995	0.4805083	0.1238709	2	4.509748	0.06367633	0.385129	0.728557	1.08224	1.80407	0.6043792	0.301743	2.42954	1.10641	0.2049557
200	-1173.096	-1051.409	-121.6872	1.80084	0.1123424	0.680241	0.07830343	1	4.077473	0.1090783	0.268284	0.632014	1.0641	2.0356	0.7585445	1.67458	2.2789	2.14082	0.1032285
210	-1166.553	-1040.021	-126.5324	3.080505	0.1044198	0.3505713	0.3457343	1	3.455937	0.05385802	0.395396	0.73589	1.08289	1.78583	0.6963056	1.12865	0.649999	1.90808	0.4965267
220	-1167.353	-1040.033	-127.3195	3.193357	0.08864351	0.3558029	0.2555093	1	4.118079	0.08329549	0.403688	0.741701	1.08332	1.77129	0.6113122	0.390279	1.93084	2.11324	0.4179686
230	-1170.386	-1042.263	-128.1221	2.605621	0.08796471	0.5527047	0.2270778	1	4.140331	0.1045991	0.356247	0.707055	1.07973	1.85697	0.7797825	0.448899	1.37448	2.09194	0.2912066
240	-1171.099	-1041.571	-129.5278	3.415422	0.08003467	0.4358615	0.1681339	1	4.965974	0.08520337	0.419048	0.752211	1.08392	1.74482	0.6039954	0.356551	1.16012	2.09194	0.2783695
250	-1172.183	-1045.421	-126.7617	1.782706	0.09386927	0.6044861	0.06306556	1	3.964974	0.06195289	0.265881	0.629721	1.06346	2.04094	0.6675517	0.619008	1.37592	2.20947	0.09447293
260	-1178.652	-1047.316	-131.3359	2.566893	0.07957796	0.3710513	0.06428667	1	4.399869	0.03558973	0.352708	0.704327	1.07935	1.86362	0.435338	0.949456	1.12663	1.94625	0.1476707
270	-1179.815	-1053.759	-126.0558	1.838039	0.08121947	0.5009633	0.06726514	2	4.067299	0.06163045	0.273144	0.636606	1.06535	2.0249	0.5682284	0.341088	2.08822	1.34349	0.1183769
280	-1182.484	-1052.415	-130.0692	3.125678	0.07307249	0.4320771	0.1968122	1	4.379537	0.05488078	0.398757	0.738257	1.08307	1.77992	0.6288892	1.15925	1.03684	2.17362	0.312952
290	-1181.617	-1049.143	-132.4736	2.219034	0.08659891	0.3624258	0.2129549	1	3.938585	0.1422928	0.31809	0.676452	1.07462	1.93084	0.5753807	1.08348	1.63839	2.14648	0.3701113
300	-1179.235	-1047.626	-131.6085	1.913815	0.08608996	0.555737	0.1131138	1	4.192925	0.1780261	0.282765	0.645524	1.06768	2.00404	0.6688508	0.62694	1.54172	2.05852	0.1691167
310	-1186.955	-1056.318	-130.6367	2.594548	0.09130013	0.4825865	0.1855583	1	4.378219	0.1272807	0.355241	0.706282	1.07962	1.85885	0.6681447	0.589726	1.45762	1.98322	0.2777217
320	-1176.525	-1048.063	-128.4626	2.015459	0.1035636	0.5457313	0.2568345	1	4.233661	0.04774091	0.295113	0.656648	1.07037	1.97787	0.8025658	0.905246	1.24844	1.78767	0.3200168
330	-1182.355	-1052.882	-129.4727	2.401937	0.1042049	0.6003085	0.146481	1	4.418179	0.04503506	0.336958	0.691919	1.07742	1.8937	0.7467895	0.620162	1.0423	1.22979	0.1961477
340	-1171.849	-1042.773	-129.0762	1.650068	0.08397667	0.4995437	0.08762339	1	4.210898	0.0458438	0.247602	0.611768	1.05814	2.08249	0.5871671	0.0611178	1.31132	2.43697	0.1492307
350	-1174.39	-1050.597	-123.7934	2.120239	0.1113046	0.5425598	0.0889521	1	3.629667	0.09740271	0.307217	0.667219	1.07273	1.95284	0.6315119	0.268111	1.1994	2.62103	0.1408558
360	-1182.733	-1050.816	-131.9168	2.520965	0.07918447	0.3413536	0.1584833	1	4.426827	0.1663212	0.348435	0.701004	1.07886	1.8717	0.4998369	0.912776	2.99737	2.6832	0.3170701
370	-1183.399	-1056.356	-127.0424	1.332335	0.08730752	0.596403	0.1501043	0	4.806493	0.1001576	0.198222	0.558041	1.03884	2.20489	0.7465074	0.276976	2.79301	2.85429	0.2010755
380	-1188.93	-1062.588	-126.3424	1.997992	0.08172408	0.5746514	0.1739465	1	4.684638	0.03608119	0.293035	0.6548	1.06994	1.98223	0.7485979	1.72225	1.11432	3.01595	0.2323631
390	-1172.222	-1041.875	-130.3475	2.199041	0.08713857	0.3700155	0.2482945	0	4.329183	0.1004385	0.31593	0.674637	1.07426	1.93518	0.61831	1.38002	2.75966	2.19047	0.4015696
400	-1172.373	-1043.975	-128.3982	2.294448	0.08024066	0.343482	0.0990386	2	4.976659	0.08956113	0.32606	0.683069	1.07587	1.915	0.4425206	0.488115	2.87368	2.51475	0.2238056
410	-1169.898	-1043.578	-126.3198	2.346361	0.1021289	0.6772331	0.0836581	2	4.963896	0.07778266	0.331389	0.687424	1.07665	1.90453	0.7608912	0.836989	2.39362	2.40017	0.1099475
420	-1181.183	-1053.706	-127.4766	2.591823	0.08888654	0.3584407	0.2074809	2	4.935941	0.1006979	0.354993	0.706091	1.0796	1.85932	0.5659216	1.18848	2.57799	3.39369	0.3666248
430	-1180.807	-1050.711	-130.0954	1.445338	0.07745352	0.4308309	0.1748094	1	4.748341	0.01864071	0.216754	0.579198	1.04704	2.15701	0.6056402	0.33931	1.05574	2.90589	0.2886356
440	-1168.325	-1041.37	-126.9558	2.139591	0.08375404	0.39874	0.21809	1	4.755987	0.04062539	0.309387	0.669081	1.07312	1.94841	0.61683	1.09625	3.38702	2.33916	0.3535659
450	-1170.971	-1044.954	-126.017	2.156511	0.1061858	0.5201227	0.2677241	2	4.888403	0.0246833	0.311268	0.670688	1.07345	1.94459	0.7878468	1.3045	3.36175	2.65811	0.3398174
460	-1173.954	-1043.098	-130.8559	2.489878	0.09421891	0.3649745	0.2876718	0	4.906071	0.03937825	0.345495	0.698699	1.07851	1.87729	0.6526463	1.93834	2.16082	2.70403	0.4407775
470	-1180.719	-1048.022	-132.6967	2.098856	0.08131766	0.3384592	0.3394689	1	4.415451	0.07624819	0.304796	0.66513	1.07228	1.9578	0.6779281	0.720005	1.63403	2.3814	0.5007447
480	-1171.442	-1042.143	-129.2992	1.916906	0.07943572	0.5586111	0.265512	1	4.780805	0.08696414	0.28315	0.645876	1.06776	2.00321	0.8241231	1.46539	0.710548	2.35308	0.3221752
490	-1175.179	-1045.263	-129.9163	2.053985	0.08764217	0.4307489	0.07483057	1	4.741119	0.1839646	0.299635	0.660634	1.07128	1.96845	0.5055794	1.90875	1.37551	2.29721	0.1480095
500	-1183.946	-1053.021	-130.9252	3.100061	0.0722488	0.4174941	0.1609464	2	4.480068	0.187807	0.396858	0.736922	1.08297	1.78325	0.5784405	2.21574	0.70983	2.53194	0.278242
510	-1170.529	-1042.109	-128.4203	2.790543	0.09113923	0.5790985	0.07752871	1	4.319398	0.1458534	0.37238	0.719229	1.08127	1.82713	0.6566273	2.01981	1.71855	2.74216	0.1180711
520	-1174.065	-1044.685	-129.3804	1.775187	0.08036763	0.4594693	0.07933508	1	4.858048	0.09291427	0.264878	0.628759	1.06319	2.04317	0.5388044	0.478083	1.65306	2.81141	0.1472428
530	-1165.208	-1036.395	-128.8129	2.53966	0.076219	0.3644139	0.1694911	1	4.992798	0.08411744	0.350185	0.702368	1.07906	1.86838	0.533905	0.768541	1.4334	2.25909	0.3174556
540	-1164.201	-1038.927	-125.2744	3.495135	0.09772888	0.5242358	0.1564785	2	4.33883	0.03452321	0.424276	0.755716	1.08407	1.73594	0.6807143	0.8301	2.22424	2.9607	0.229874
550	-1160.259	-1032.765	-127.4932	2.668543	0.09229888	0.5784032	0.10922	1	3.958556	0.1029753	0.361875	0.711351	1.08031	1.84647	0.6876232	1.01767	1.652	2.84362	0.158837
560	-1176.542	-1048.86	-127.6819	2.254638	0.08109112	0.5495913	0.2081722	1	4.236211	0.1423349	0.321887	0.67962	1.07523	1.92327	0.7577635	1.08053	1.4592	2.02702	0.2747192
570	-1172.542	-1045.255	-127.2868	2.331213	0.08793596	0.6123687	0.174025	1	4.471339	0.0515251	0.329847	0.68617	1.07643	1.90755	0.7863937	2.06974	3.40335	2.65079	0.221295
580	-1178.006	-1050.567	-127.4389	2.717414	0.08228438	0.5398178	0.1347564	1	4.327079	0.01730784	0.366146	0.714576	1.08071	1.83856	0.6745741	1.91433	3.19838	2.58323	0.1997651
590	-1171.331	-1039.156	-132.1745	3.24863	0.08072809	0.4167072	0.2428957	1	4.209042	0.03093212	0.407626	0.744427	1.0835	1.76445	0.6596029	1.60464	0.309294	2.40586	0.3682454
600	-1174.781	-1046.028	-128.7535	2.982213	0.1007551	0.7101675	0.1795319	2	4.221728	0.007126776	0.387881	0.730538	1.08243	1.79915	0.8896994	3.24782	0.283482	1.68473	0.2017894
610	-1170.561	-1042.189	-128.3714	1.785794	0.08817113	0.6185496	0.2171892	1	4.465462	0.01682666	0.266291	0.630114	1.06357	2.04002	0.8357388	2.61994	0.293058	1.51052	0.2598769
620	-1168.164	-1042.5	-125.6641	2.585398	0.09010734	0.552019	0.08420845	1	3.810222	0.0355979	0.354406	0.705639	1.07953	1.86042	0.6362275	2.95868	0.414526	1.25333	0.1323559
630	-1169.995	-1046.798	-123.1973	3.059917	0.09564231	0.5988164	0.1242396	2	4.265744	0.06036005	0.393845	0.734792	1.0828	1.78857	0.723056	3.87515	0.706647	1.35093	0.1718257
640	-1173.638	-1042.95	-130.6874	3.576621	0.09256079	0.5624779	0.1429405	0	4.741122	0.08238777	0.429475	0.759166	1.08419	1.72717	0.7054184	3.32943	0.654814	1.02946	0.2026322
650	-1169.923	-1046.826	-123.0967	2.805071	0.1080304	0.5694862	0.1787318	1	4.543644	0.0970144	0.373596	0.72013	1.08137	1.82491	0.748218	3.3475	0.66921	1.59241	0.2388766
660	-1180.407	-1056.781	-123.6262	1.73423	0.1227173	0.4821745	0.1738639	1	4.550149	0.1101773	0.259346	0.623408	1.06166	2.05559	0.6560384	1.83618	1.02753	1.56919	0.2650209
670	-1177.636	-1049.406	-128.2304	2.161437	0.1001666	0.3295484	0.2689077	1	4.62205	0.116036	0.311813	0.671151	1.07355	1.94349	0.5984561	0.682607	0.569557	1.53613	0.4493357
680	-1172.067	-1041.117	-130.9499	2.992387	0.0817861	0.3274413	0.2004988	1	4.466728	0.07431606	0.388672	0.731106	1.08248	1.79774	0.5279401	1.06524	0.267802	2.0123	0.3797757
690	-1171.387	-1040.61	-130.7769	2.879341	0.08085314	0.4202372	0.232919	1	4.330242	0.05804345	0.379707	0.724621	1.08185	1.81382	0.6531562	2.16743	0.209551	1.62876	0.3566054
700	-1175.58	-1047.923	-127.6572	2.379323	0.07860149	0.3481181	0.06876304	2	4.686284	0.04213407	0.334709	0.690111	1.07712	1.89806	0.4168812	4.21024	0.621184	1.5191	0.1649464
710	-1175.219	-1045.907	-129.3125	1.796296	0.08883265	0.5886991	0.07757428	2	4.692675	0.1216093	0.267683	0.631443	1.06394	2.03693	0.6662734	3.19158	0.259014	1.7263	0.1164301
720	-1175.687	-1051.233	-124.4546	2.32735	0.09070916	0.4295421	0.1459953	2	4.5104	0.04915371	0.329452	0.685847	1.07637	1.90833	0.5755374	3.42593	0.6282	1.53663	0.2536678
730	-1180.913	-1056.629	-124.2846	1.601704	0.108695	0.3424625	0.1102749	2	4.71333	0.02133987	0.240615	0.604654	1.05588	2.09886	0.4527374	4.26983	1.94343	2.46081	0.2435736
740	-1168.291	-1046.617	-121.674	1.899924	0.1032967	0.4736904	0.3687448	2	4.809795	0.0399983	0.281029	0.643932	1.06727	2.00777	0.8424352	3.73695	1.21506	1.87561	0.4377129
