Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	turnover
0	-3500.23	-3116.492	-383.7382	0.1765178	0.1310997	0.04	0.01	0	3.03656	0.025	0.000211938	0.0214207	0.319671	3.6587	0.05	0.0651153	0.0253157	0.171194	0.0644566	0.288834	0.110187	0.142369	0.257749	0.138563	0.107378	0.2
10	-2748.947	-2457.792	-291.1548	0.2072887	0.1941809	0.1274386	0.02609403	2	1.825977	0.07586711	0.000677152	0.0380834	0.402412	3.55883	0.1535327	0.582709	0.0614305	0.630725	0.280691	0.432165	0.726638	0.317781	0.293468	0.69146	0.341727	0.1699575
20	-2474.853	-2259.081	-215.772	0.2873695	0.171289	0.4455669	0.07673207	8	2.327871	0.1311752	0.0043268	0.0947127	0.573969	3.32699	0.522299	0.582709	0.482548	0.600306	0.287595	0.674862	0.887321	0.322925	0.539315	0.518559	0.563085	0.1469121
30	-2344.331	-2132.846	-211.4857	0.3047099	0.1740373	0.8396176	0.06772101	8	2.457825	0.1141143	0.00568514	0.108164	0.603628	3.28252	0.9073386	0.458003	0.691494	0.600306	0.374171	0.682731	0.636411	0.312904	0.619875	0.418921	0.563085	0.07463698
40	-2197.935	-1995.596	-202.339	0.23131	0.1723829	0.737418	0.05315114	10	3.276073	0.227307	0.00135206	0.0535649	0.46038	3.4847	0.7905692	0.462634	0.68214	0.600306	0.419641	0.733246	0.511093	0.46095	0.965564	0.769307	0.771944	0.06723149
50	-2144.806	-1940.637	-204.1686	0.224334	0.1747206	0.7319327	0.03447166	10	3.865514	0.2242228	0.00112313	0.048887	0.44415	3.50584	0.7664043	0.390394	0.638575	0.825826	0.747827	0.733246	0.272264	0.28373	0.976537	0.799241	0.534393	0.04497843
60	-2059.544	-1852.756	-206.7883	0.257555	0.1463585	0.8888287	0.02238143	10	3.761034	0.2528816	0.00248272	0.0721977	0.517149	3.40817	0.9112101	0.351625	0.720167	0.825826	0.67356	0.733246	0.599963	0.215527	0.973779	0.82274	0.906428	0.02456232
70	-2047.005	-1833.2	-213.8049	0.2835889	0.1317297	0.6293099	0.04855113	9	4.808272	0.2231436	0.00405871	0.0918056	0.567185	3.33695	0.6778611	0.546784	0.702949	0.825826	0.761596	0.761724	0.431408	0.215527	0.995359	0.82274	0.855426	0.07162402
80	-2044.649	-1834.378	-210.2713	0.2136228	0.141492	0.8354993	0.05233444	10	4.322288	0.1376053	0.00082499	0.0419856	0.418269	3.53892	0.8878337	0.36485	0.887359	0.825826	0.761596	0.914994	0.715955	0.215527	1.04667	0.858837	0.901132	0.05894622
90	-2046.77	-1835.167	-211.6032	0.2469633	0.1302434	0.5865895	0.02259804	10	4.395814	0.2069446	0.00197324	0.0645059	0.495038	3.43848	0.6091876	0.349626	0.985397	0.825826	0.526531	0.914994	0.728717	0.439243	1.07791	0.79898	0.683448	0.03709537
100	-2025.662	-1817.596	-208.0657	0.2711922	0.1414623	0.856596	0.01493369	10	4.600651	0.2497131	0.00324984	0.0823661	0.544099	3.37028	0.8715297	0.245591	0.985397	0.723786	0.526531	0.914994	0.446904	0.439243	1.15706	0.74854	0.687322	0.01713504
110	-2002.818	-1794.333	-208.4851	0.2704715	0.1311671	0.6250637	0.00636478	10	4.448185	0.201472	0.00320611	0.0818225	0.542717	3.37225	0.6314284	0.245591	0.918445	0.699766	0.526531	0.914994	0.510445	0.380461	1.16246	0.63452	0.800622	0.01007997
120	-2008.983	-1795.47	-213.5125	0.1935482	0.1263923	1.035565	0.006316676	10	4.480948	0.1988768	0.000421978	0.0301383	0.36661	3.60283	1.041882	0.396118	0.918445	0.741241	0.468635	1.21612	0.515623	0.526395	1.28978	0.699869	0.984932	0.006062758
130	-1994.061	-1782.213	-211.8473	0.271292	0.1277193	0.6397579	0.046988	10	4.903258	0.2213009	0.00325593	0.0824415	0.54429	3.37001	0.6867459	0.348683	0.918445	0.727004	0.424436	1.20744	0.538588	0.551194	1.41432	0.589422	0.984932	0.06842122
140	-1987.224	-1772.08	-215.144	0.2676527	0.1468248	0.6545468	0.1523872	9	4.243721	0.3040928	0.0030385	0.0797023	0.537264	3.37999	0.806934	0.263234	0.918445	0.727004	0.561697	1.20744	0.674114	0.340375	1.41432	0.800242	1.18114	0.1888472
150	-1971.758	-1766.097	-205.6619	0.3310651	0.1494502	0.7196598	0.07948053	10	3.365484	0.175302	0.00815039	0.128778	0.644467	3.2186	0.7991404	0.416748	0.936816	0.758606	0.824655	1.24796	0.735125	0.389509	1.42064	0.908403	1.18114	0.09945754
160	-1972.324	-1761.751	-210.5725	0.2416535	0.1285338	0.6493303	0.1206496	10	4.036956	0.1638307	0.00174532	0.060732	0.48355	3.45397	0.7699799	0.413971	0.60937	0.758853	0.482353	1.21686	0.686572	0.798509	1.39892	0.614064	1.18114	0.1566919
170	-1961.469	-1751.237	-210.2318	0.2567895	0.1260863	0.5650397	0.08745105	10	3.728168	0.1502786	0.0024434	0.0716351	0.515587	3.41033	0.6524907	0.50173	0.804557	0.720687	0.491261	1.33953	0.689361	0.738822	1.45072	0.738934	1.18114	0.1340265
180	-1952.064	-1731.349	-220.715	0.2244753	0.1172072	0.3847807	0.2182551	8	4.131075	0.2718077	0.00112748	0.0489804	0.444484	3.50541	0.6030358	0.39721	0.569458	0.720687	0.491261	1.23082	0.581595	1.01509	1.45072	0.709763	1.11623	0.3619273
