Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
0	-5243.316	-4819.966	-423.3503	0.2571129	0.1492102	0.04	0.01	0	4.809331	0.025	0.00245997	0.0718727	0.516248	3.40942	0.05	0.0445895	0.189583	1.16577	0.014702	0.182478	0.111415	0.0720794	0.0454064	0.349826	0.25072	0.34001	0.636732	0.471122	0.2
10	-4072.829	-3749.384	-323.4456	0.8514272	0.3085563	0.09835735	0.03414054	5	4.093966	0.04275812	0.106445	0.427043	0.970246	2.49627	0.1324979	0.104341	0.125095	0.152268	0.159639	0.160705	0.325571	0.23686	0.0128322	1.12371	0.175649	0.668855	1.03336	1.27208	0.2576685
20	-3894.765	-3639.074	-255.6912	0.6494592	0.2384317	0.8942978	0.118596	5	4.51934	0.08021527	0.0634435	0.338675	0.904596	2.69329	1.012894	0.140381	0.125095	0.0941723	0.159639	0.509946	0.708587	0.189392	0.180486	1.08506	0.148507	0.668855	1.03336	1.27208	0.1170863
30	-3726.282	-3480.789	-245.4931	0.7250104	0.2298008	0.6765205	0.3053649	4	2.982282	0.215216	0.0795365	0.375096	0.933795	2.61157	0.9818854	0.425721	0.175619	0.174348	0.159639	0.530043	0.310467	0.189392	0.222636	1.06304	0.148507	0.625056	1.03336	1.28955	0.3109985
40	-3671.362	-3420.212	-251.1501	0.8670368	0.1966708	0.9032679	0.6121191	4	3.247085	0.2814593	0.109723	0.432786	0.973929	2.48356	1.515387	0.0525369	0.175619	0.450938	0.131204	0.645351	0.36297	0.189392	0.222636	1.07072	0.0483521	0.625056	0.941536	1.28955	0.4039359
50	-3465.178	-3221.968	-243.2102	0.9639138	0.1854017	0.8472219	0.4227211	6	3.007057	0.2206234	0.129699	0.46563	0.993753	2.41092	1.269943	0.0525369	0.146349	0.274684	0.101452	0.61638	0.389921	0.147603	0.335507	0.976206	0.272308	0.625056	1.08246	1.28955	0.3328662
60	-3395.98	-3158.045	-237.9353	0.9740053	0.2259081	0.749058	0.4390285	6	2.812921	0.2429012	0.131738	0.468797	0.995556	2.40391	1.188087	0.0525369	0.146349	0.292848	0.0888613	0.512197	0.475573	0.147603	0.307074	0.917069	0.272308	0.678926	1.08246	1.28955	0.3695257
70	-3302.24	-3061.835	-240.4059	0.7953199	0.1843999	0.5898861	0.4602417	9	3.441898	0.3923701	0.0945625	0.405243	0.95565	2.54454	1.050128	0.207846	0.942314	0.292848	0.117012	0.473659	0.458944	0.147603	0.327445	1.03301	0.244496	0.638834	1.08246	1.28955	0.4382721
80	-3265.13	-3031.484	-233.6458	0.7810177	0.1803917	0.5250443	0.3570372	9	3.589576	0.2254024	0.0915135	0.399378	0.951553	2.55756	0.8820815	0.105911	0.49391	0.292848	0.117012	0.506901	0.462213	0.173736	0.166361	1.03301	0.595193	0.878878	1.08246	1.28955	0.4047667
90	-3182.007	-2952.88	-229.1265	0.9254089	0.1963468	0.6450756	0.1523343	10	2.674387	0.2327476	0.121841	0.453123	0.98645	2.43859	0.7974099	0.105911	0.408345	0.292848	0.146525	0.478711	0.465235	0.20539	0.150675	1.04435	0.595193	0.932118	1.08246	1.28049	0.1910364
