Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	turnover
0	-3276.335	-2941.569	-334.766	0.9230312	0.6059575	0.04	0.01	0	2.699573	0.025	0.121352	0.452328	0.985976	2.44034	0.05	0.301264	0.392614	0.408538	0.0555501	0.0964334	0.00821749	0.275183	0.0181835	0.2
10	-2728.129	-2467.336	-260.7932	0.3766994	0.270565	0.0267072	0.07134173	3	2.325118	0.07254384	0.0135014	0.164148	0.704783	3.11757	0.09804893	0.61984	0.949521	1.35626	0.173785	0.9407	0.820902	0.679754	0.109703	0.7276136
20	-2376.394	-2157.001	-219.3932	0.4835716	0.1429302	0.2359553	0.105024	3	3.615512	0.2398338	0.0303847	0.241056	0.807937	2.92062	0.3409793	0.630875	0.893797	1.59148	0.0688756	1.23637	0.876652	0.644444	1.34748	0.3080071
30	-2232.032	-2020.681	-211.3512	0.3712469	0.102071	0.1778269	0.2129262	5	4.396664	0.1348068	0.0127942	0.159974	0.698193	3.12904	0.3907531	1.04456	0.996855	2.10397	0.0688756	0.712494	0.801039	0.733637	0.4705	0.5449124
40	-2039.233	-1838.344	-200.8893	0.4549591	0.09033645	0.5875463	0.1253167	5	4.625207	0.1304644	0.0253753	0.221499	0.784511	2.96861	0.7128629	1.08771	0.99547	2.52753	0.223878	0.928665	0.6622	0.57664	1.47729	0.1757935
50	-1987.778	-1780.943	-206.8353	0.5115937	0.09251423	0.5778507	0.04714199	5	4.841831	0.160342	0.0355562	0.259417	0.828524	2.8765	0.6249927	1.41587	0.946677	2.42967	0.0878051	0.928665	0.143348	0.354351	1.18529	0.07542807
60	-1908.247	-1700.865	-207.382	0.4288067	0.07379302	0.6398577	0.03835813	5	4.693435	0.1650195	0.0210801	0.202928	0.760661	3.01533	0.6782158	1.36818	0.967446	3.18012	0.438352	1.02231	0.414518	0.219441	0.81988	0.05655741
70	-1873.987	-1663.788	-210.199	0.5058126	0.07335022	0.6767565	0.03529851	5	4.942028	0.1225574	0.0344701	0.255694	0.824452	2.88538	0.712055	1.87391	0.967446	3.18012	0.438352	1.23962	0.664098	0.395073	0.56895	0.04957273
80	-1865.396	-1665.018	-200.3783	0.5201682	0.08534858	0.5680316	0.03765745	7	4.975374	0.1039294	0.037184	0.264878	0.834406	2.86353	0.6056891	1.89163	0.967446	3.37072	0.918334	1.31255	0.777724	0.394296	1.71699	0.06217291
90	-1869.756	-1667.098	-202.6579	0.513084	0.07988533	0.5469663	0.01531794	7	4.975374	0.1393614	0.0358377	0.260372	0.82956	2.87423	0.5622842	1.58726	0.967446	3.90525	1.19662	1.05122	0.509363	0.621186	1.3015	0.02724234
100	-1857.563	-1655.463	-202.1003	0.5055781	0.07397496	0.5354091	0.009886958	7	4.868052	0.1334874	0.0344262	0.255542	0.824285	2.88575	0.545296	1.24939	0.967446	4.16899	1.81126	1.33654	0.211787	0.397665	1.7273	0.01813136
110	-1845.5	-1639.86	-205.6398	0.5676801	0.1012418	0.5440782	0.01748297	6	4.885588	0.09537282	0.0465181	0.293822	0.86389	2.79577	0.5615612	0.806527	0.908914	4.19842	1.75253	0.36485	0.332242	0.535587	1.31239	0.03113279
