Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	turnover
0	-13340.53	-12642.68	-697.8424	1.233249	1.99391	0.04	0.01	0	1.37781	0.025	0.181027	0.537161	1.02999	2.25183	0.05	0.729791	0.0948325	0.782358	0.692827	0.374782	0.13379	0.485993	0.0864968	0.282875	0.0500082	0.479544	0.144941	0.41131	0.413925	0.548345	0.833189	0.473805	0.189562	0.579228	0.373002	0.566103	0.779432	0.0545606	0.91245	0.2
10	-12290.28	-11730.8	-559.4874	1.227573	0.8183965	0.03015941	0.05417874	6	1.626649	0.1085329	0.180014	0.53589	1.02942	2.25467	0.08433815	0.729791	0.0948325	0.212978	0.563485	0.339803	0.13379	0.536667	0.350136	0.1545	0.0500082	0.479544	0.144941	0.476786	0.393099	0.548345	0.833189	0.260395	0.189562	0.419392	0.373002	0.837874	0.779432	0.0545606	1.00186	0.642399
20	-11857.29	-11367.77	-489.5181	1.381992	0.7587062	0.09741095	0.1047664	6	1.815056	0.1348437	0.206504	0.567658	1.04267	2.18317	0.2021774	0.688577	0.164267	0.123604	0.563485	0.339803	0.13379	0.509928	0.379966	0.1545	0.0500082	0.462775	0.274167	0.476786	0.147175	0.548345	0.966701	0.260395	0.102309	0.419392	0.418114	0.837874	0.841249	0.101116	0.969886	0.5181907
30	-11454.71	-11050.47	-404.2335	1.57199	0.6127192	0.3860059	0.3872236	5	1.481335	0.3367459	0.236232	0.600116	1.05438	2.10927	0.7732294	0.717786	0.127167	0.123604	0.563485	0.339803	0.13379	0.469168	0.456867	0.0558123	0.0469171	0.665746	0.00898422	0.476786	0.475658	0.548345	0.949761	0.610539	0.102309	0.843518	0.411545	0.837874	0.841249	0.101116	1.03653	0.5007874
40	-11006.1	-10607.53	-398.5711	1.745412	0.5334128	0.457581	0.4129553	6	1.934155	0.3505428	0.260868	0.624888	1.06209	2.05216	0.8705363	0.725764	0.127167	0.0783505	0.518262	0.339803	0.13379	0.469168	0.456867	0.089767	0.0469171	0.665746	0.00898422	0.476786	0.416241	0.548345	1.01278	0.610539	0.102309	0.843518	0.411545	0.815646	0.841249	0.101116	1.02459	0.4743689
50	-10672.85	-10287.77	-385.0871	1.745089	0.510271	0.6749631	0.6471861	8	1.705583	0.4067646	0.260824	0.624846	1.06207	2.05226	1.322149	0.725764	0.127167	0.0783505	0.501519	0.734096	0.170979	0.469168	0.561897	0.0533924	0.0469171	0.665746	0.109087	0.625878	0.431325	0.548345	0.958504	0.610539	0.102309	0.833421	0.309713	0.814629	0.841249	0.101116	1.02459	0.4894955
60	-10236.79	-9851.688	-385.1062	2.161398	0.4373594	0.7975941	0.6754636	8	2.207819	0.2972271	0.311808	0.671148	1.07355	1.94349	1.473058	0.725764	0.127167	0.0783505	0.358523	0.734096	0.170979	0.469168	0.561897	0.0533924	0.0469171	0.665746	0.0646275	0.625878	0.448243	0.548345	0.97188	0.610539	0.28523	0.797084	0.394223	0.814629	0.841249	0.0582574	1.02459	0.4585453
70	-9938.298	-9558.459	-379.8392	2.005643	0.4365669	0.6744925	0.7013618	9	1.933877	0.4725168	0.293947	0.655612	1.07013	1.98031	1.375854	0.547163	0.127167	0.0783505	0.358523	0.734096	0.170979	0.469168	0.416889	0.12708	0.0469171	0.665746	0.135294	0.727239	0.448243	0.548345	0.921889	0.610539	0.28523	0.76098	0.394223	0.862568	0.685271	0.0582574	1.02459	0.5097646
80	-9675.142	-9289.234	-385.9083	2.418206	0.3889263	0.8924709	0.3975658	10	3.186108	0.4755647	0.338562	0.693203	1.07764	1.8906	1.290037	0.697835	0.127167	0.0783505	0.304177	0.734096	0.170979	0.513619	0.313615	0.0209431	0.0469171	0.665746	0.0677602	0.727239	0.231267	0.235833	0.899693	0.610539	0.28523	0.76098	0.411653	0.862568	0.685271	0.0582574	1.02932	0.3081818
90	-9441.275	-9052.441	-388.8338	2.619195	0.3831917	0.6965414	0.3696981	9	2.248883	0.5359725	0.357474	0.707996	1.07986	1.85467	1.066239	0.697835	0.155158	0.0783505	0.304177	0.61459	0.223422	0.513619	0.313615	0.0209431	0.16176	0.665746	0.0487193	0.771691	0.217896	0.333944	0.899693	0.610539	0.374742	0.702519	0.411653	0.862568	0.685271	0.0582574	1.06751	0.3467308
100	-9294.516	-8905.253	-389.2629	2.679528	0.3711331	0.8980841	0.4529922	9	2.085758	0.2779525	0.362843	0.712084	1.0804	1.84467	1.351076	0.697835	0.171417	0.0459139	0.221338	0.61459	0.0164719	0.607932	0.313615	0.0209431	0.366502	0.665746	0.0887341	0.771691	0.129376	0.333944	0.899693	0.610539	0.430524	0.554625	0.411653	0.862568	0.475324	0.0180944	1.06751	0.3352825
110	-9249.099	-8865.102	-383.9978	2.167386	0.3803022	1.02063	0.4185623	10	2.588632	0.3248915	0.312469	0.671709	1.07366	1.94216	1.439192	0.69759	0.171417	0.148447	0.352002	0.61459	0.401649	0.499081	0.335843	0.0209431	0.366502	0.665746	0.0893109	0.771691	0.0757637	0.333944	0.899693	0.610539	0.430524	0.554625	0.411653	0.862568	0.581583	0.0180944	1.10443	0.2908314
120	-9129.874	-8748.448	-381.4268	2.912451	0.3476809	0.9970706	0.6475006	10	2.269727	0.3177642	0.382373	0.726562	1.08205	1.80902	1.644571	0.969633	0.171417	0.148447	0.359619	0.61459	0.283561	0.499081	0.335843	0.0209431	0.416885	0.665746	0.0395478	0.75254	0.0936151	0.333944	0.899693	0.610539	0.430524	0.554625	0.411653	0.862568	0.637923	0.0180944	1.17412	0.39372
130	-9065.963	-8679.533	-386.4292	2.186702	0.3619117	0.7036011	0.5156523	10	2.714307	0.3021096	0.314587	0.673504	1.07403	1.93788	1.219253	0.969633	0.171417	0.0120968	0.359619	0.61459	0.283561	0.563458	0.362178	0.0209431	0.416885	0.665746	0.0395478	0.803642	0.073975	0.231312	0.848373	0.614939	0.433966	0.519912	0.411653	0.803357	0.426617	0.106621	1.17412	0.4229246
140	-8891.452	-8508.573	-382.8785	2.211094	0.3469715	0.8161167	0.7697985	11	3.571406	0.2953326	0.317235	0.675735	1.07447	1.93256	1.585915	0.640284	0.171417	0.0120968	0.359619	0.614503	0.283561	0.563458	0.218007	0.139029	0.373054	0.665746	0.0663181	0.803642	0.144774	0.231312	0.848373	0.614939	0.418132	0.435773	0.411653	0.803357	0.426617	0.106621	1.17412	0.485397
150	-8845.223	-8463.883	-381.3402	1.954156	0.3602722	1.001338	0.398834	11	3.849083	0.4518323	0.28774	0.650048	1.0688	1.99341	1.400172	0.798593	0.201536	0.0120968	0.359619	0.614503	0.242093	0.553796	0.218007	0.0503956	0.373054	0.665746	0.0663181	0.803642	0.144774	0.338452	0.848373	0.602045	0.418132	0.435773	0.411653	0.803357	0.426617	0.104058	1.17412	0.2848464
160	-8822.75	-8441.413	-381.3369	2.08598	0.3331836	0.7558672	0.5902855	10	3.892353	0.3346109	0.303327	0.663856	1.072	1.96082	1.346153	0.706436	0.201536	0.0120968	0.359619	0.614503	0.243165	0.553796	0.221608	0.0503956	0.373054	0.665746	0.0663181	0.803642	0.144774	0.213525	0.848373	0.602045	0.418132	0.336051	0.377363	0.693079	0.39341	0.104058	1.19216	0.4384982
170	-8728.663	-8352.059	-376.6044	2.183147	0.352485	0.7072372	0.5457936	10	2.442996	0.3089381	0.314199	0.673176	1.07396	1.93866	1.253031	0.706436	0.212361	0.0576993	0.359619	0.614503	0.243165	0.553796	0.144654	0.0503956	0.373054	0.665746	0.0861071	0.803642	0.144774	0.213525	0.686522	0.602045	0.409385	0.483363	0.408147	0.828769	0.535525	0.121998	1.21332	0.4355788
180	-8665.82	-8287.315	-378.5048	2.318957	0.3285232	0.5346209	0.7130267	10	2.879364	0.3430758	0.328591	0.685145	1.07625	1.91002	1.247648	0.706436	0.212361	0.0576993	0.234831	0.614503	0.122962	0.573084	0.126203	0.287548	0.373054	0.665746	0.0861071	0.803642	0.15209	0.14798	0.604707	0.584771	0.409385	0.483363	0.408147	0.828769	0.535525	0.134571	1.07273	0.5714969
190	-8657.005	-8276.598	-380.4077	2.374666	0.3466124	0.7699805	0.5086656	10	2.879364	0.3152764	0.334242	0.689735	1.07705	1.89897	1.278646	0.706436	0.247044	0.0576993	0.234831	0.614503	0.154738	0.601443	0.187314	0.287548	0.373054	0.665746	0.0861071	0.803642	0.082046	0.14798	0.604707	0.595861	0.43952	0.483363	0.428239	0.732202	0.440087	0.134571	1.08154	0.3978158
200	-8587.765	-8208.631	-379.1345	2.274297	0.3239648	0.7946004	0.8152356	11	2.719841	0.240127	0.323957	0.681335	1.07555	1.91916	1.609836	0.706436	0.247044	0.0576993	0.234831	0.614503	0.296291	0.601443	0.187314	0.27901	0.386433	0.665746	0.0861071	0.803642	0.19915	0.0287857	0.604707	0.595861	0.425922	0.483363	0.428239	0.732202	0.845199	0.134571	1.08154	0.5064091
210	-8417.429	-8038.779	-378.6493	2.572147	0.3205394	0.7936322	0.693906	11	2.830903	0.3504979	0.353192	0.704701	1.0794	1.86271	1.487538	0.706436	0.247044	0.0576993	0.234831	0.474168	0.296291	0.59162	0.270922	0.291049	0.386433	0.439558	0.106195	0.803642	0.110833	0.0287857	0.558084	0.597585	0.409834	0.319812	0.392318	0.732202	0.170748	0.134571	1.09377	0.4664795
220	-8323.964	-7942.66	-381.3033	2.284399	0.3092142	1.028681	0.6946387	11	2.829374	0.3862229	0.325014	0.682207	1.07571	1.91707	1.723319	0.707409	0.247044	0.0576993	0.234831	0.474168	0.279482	0.59162	0.197286	0.291049	0.385343	0.483841	0.106195	0.882001	0.110833	0.0287857	0.587689	0.660093	0.411262	0.578994	0.392318	0.81152	0.170748	0.117841	1.1267	0.4030818
230	-8274.614	-7894.769	-379.8452	2.418635	0.2960564	1.019236	0.474316	12	3.584038	0.3143015	0.338604	0.693237	1.07764	1.89052	1.493552	0.784186	0.247044	0.0576993	0.328722	0.474168	0.228309	0.59162	0.247981	0.227616	0.401803	0.483841	0.0499005	0.882001	0.110833	0.0287857	0.587689	0.681951	0.411262	0.578994	0.435434	0.844712	0.170748	0.117841	1.1267	0.3175759
240	-8253.608	-7871.738	-381.8695	2.21508	0.2958098	0.7859016	0.5313016	12	3.409084	0.429002	0.317665	0.676095	1.07455	1.9317	1.317203	0.67168	0.234106	0.0576993	0.188223	0.474168	0.357982	0.59162	0.247981	0.336769	0.401803	0.483841	0.051812	0.951154	0.109891	0.0826577	0.587689	0.681951	0.411262	0.590301	0.393896	0.844712	0.170748	0.117841	0.97996	0.4033559
250	-8185.805	-7802.561	-383.2448	2.094787	0.3083425	0.9726218	0.3486291	11	3.065561	0.4033614	0.304333	0.664729	1.07219	1.95875	1.321251	0.765657	0.220296	0.0576993	0.188223	0.474168	0.357982	0.725707	0.2041	0.354982	0.401803	0.483841	0.0799899	0.915051	0.109891	0.0826577	0.567222	0.685672	0.411262	0.590301	0.465522	0.317285	0.170748	0.117841	0.97996	0.2638629
260	-8166.38	-7785.942	-380.4381	1.853899	0.2943033	0.8720411	0.5793303	13	3.56509	0.2296972	0.275188	0.63852	1.06586	2.02043	1.451371	0.765657	0.220296	0.0576993	0.222651	0.474168	0.610627	0.621103	0.19135	0.627066	0.401803	0.483841	0.0414698	0.915051	0.182784	0.0826577	0.567222	0.685672	0.381947	0.590301	0.465522	0.317285	0.170748	0.117841	0.97996	0.3991606
270	-8151.821	-7761.283	-390.5382	2.382233	0.278219	0.666396	0.3354611	12	4.865553	0.3265779	0.334999	0.690345	1.07716	1.8975	1.001857	1.0345	0.220296	0.0576993	0.11364	0.474168	0.610627	0.621103	0.19135	0.688422	0.443149	0.483841	0.0232658	0.964849	0.182784	0.00976495	0.644699	0.685672	0.381947	0.590301	0.467556	0.317285	0.170748	0.0268347	0.974129	0.3348393
