Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	turnover
0	-7075.112	-6586.126	-488.9865	2.408653	1.162572	0.04	0.01	0	3.605588	0.025	0.337621	0.692451	1.07751	1.89242	0.05	0.176643	0.035801	1.23484	0.937713	0.0214307	0.110047	0.400631	0.960671	0.536302	0.49184	0.218108	0.717138	0.8216	0.931327	0.0581664	0.470398	0.2
10	-4768.355	-4444.2	-324.1548	0.3452597	0.4070383	0.4863188	0.01897588	6	2.764692	0.1989505	0.00967278	0.139865	0.664542	3.18592	0.5052947	0.966834	0.035801	1.23484	0.701345	0.283834	0.0870923	0.400631	0.323163	1.20598	1.0095	0.508405	1.13815	1.35451	0.816594	0.0389847	0.470398	0.03755408
20	-4415.53	-4112.86	-302.6698	0.3878322	0.2900888	0.4069232	0.1451679	4	3.284175	0.1689237	0.0149988	0.17261	0.717771	3.09462	0.5520911	1.49821	1.24511	1.38685	0.701345	0.732648	0.0870923	1.15023	0.561353	1.35475	1.0095	0.58246	1.13815	0.897145	0.713509	0.276332	0.470398	0.2629419
30	-4220.765	-3922.593	-298.1714	0.4447996	0.1571147	0.5712035	0.4601112	4	3.876903	0.2782757	0.0236721	0.214361	0.775542	2.98642	1.031315	1.6537	0.58707	1.05966	0.926383	0.732648	0.107435	1.16213	0.813599	1.45716	0.412656	0.10246	1.01533	0.747988	1.30227	0.404166	0.470398	0.4461404
40	-4155.076	-3860.21	-294.8661	0.4579418	0.176341	0.5290852	0.3090588	5	4.644277	0.1882629	0.0258832	0.223575	0.787077	2.96346	0.838144	1.50563	0.58707	0.300952	0.879147	1.06781	0.107435	1.16213	0.928127	1.46193	1.02205	0.361138	0.562393	0.747988	1.30227	0.361955	0.428387	0.3687419
50	-4050.097	-3755.03	-295.0674	0.5301186	0.1888287	0.4044407	0.5292971	6	4.056942	0.2372305	0.0390968	0.271124	0.841004	2.84878	0.9337379	1.54361	1.0437	0.0883901	0.602793	1.20299	0.107435	1.16213	0.928127	1.46193	1.02205	0.361138	0.391655	0.914148	1.16232	0.349336	0.190826	0.5668584
60	-3947.777	-3654.399	-293.378	0.4890984	0.1851303	0.4966176	0.3772389	4	4.314254	0.1563019	0.0313854	0.244739	0.812171	2.9117	0.8738565	1.6499	1.08221	0.196555	0.602793	1.08092	0.107435	1.16213	0.928127	1.4338	0.652642	0.354734	0.363462	2.25384	1.17649	0.339497	1.37916	0.4316943
70	-3859.894	-3563.854	-296.0402	0.5312332	0.1491013	0.4082702	0.5495723	4	4.998392	0.1501905	0.0393126	0.271817	0.841728	2.84714	0.9578425	1.65197	1.00841	0.210627	0.602793	0.922917	0.489364	1.16213	0.928127	1.40798	0.542102	0.725137	0.245063	2.25384	0.587256	0.675428	1.03113	0.5737606
80	-3812.276	-3517.691	-294.5849	0.5646744	0.1349591	0.4320003	0.5053368	5	4.763785	0.1638586	0.0459139	0.292056	0.862168	2.79986	0.9373371	1.65197	1.01141	0.569958	0.602793	0.0547669	0.948134	1.44975	0.926625	1.25264	0.562899	0.586385	0.403185	2.25384	0.587256	0.457099	1.22772	0.5391196
90	-3761.008	-3470.691	-290.3175	0.5577461	0.1513786	0.4750407	0.3391471	5	4.630927	0.1680925	0.0445275	0.287953	0.85813	2.80939	0.8141879	1.59797	0.816091	0.640645	0.765034	0.0547669	1.18346	1.44975	0.926625	1.07384	0.51145	0.422879	0.0621603	2.31758	0.68846	1.02355	1.22772	0.4165465
